,Gene,Name,Parent Gene,Final_name
630,gene458,slr1053,slr1053,slr1053
632,gene459,,sll1009,sll1009
634,gene460,,slr1055,slr1055
635,gene461,slr1056,slr1056,slr1056
636,gene462,sll1006,sll1006,sll1006
637,gene463,sll1005,sll1005,sll1005
638,gene464,sll1004,sll1004,sll1004
639,gene465,sll1003,sll1003,sll1003
640,gene466,ssl1923,ssl1923,ssl1923
641,gene467,ssl1922,ssl1922,ssl1922
642,gene468,ssl1920,ssl1920,ssl1920
644,gene469,,sll1002,sll1002
645,gene470,sll1001,sll1001,sll1001
646,gene471,ssl1918,ssl1918,ssl1918
647,gene472,slr1753,slr1753,slr1753
649,gene473,,slr1755,slr1755
650,gene474,sll1647,sll1647,sll1647
652,gene475,,slr1756,slr1756
653,gene476,slr1759,slr1759,slr1759
654,gene477,slr1760,slr1760,slr1760
656,gene478,,slr1761,slr1761
657,gene479,sll1643,sll1643,sll1643
658,gene480,slr1762,slr1762,slr1762
659,gene481,slr1763,slr1763,slr1763
660,gene482,sll1642,sll1642,sll1642
662,gene483,,slr1764,slr1764
664,gene484,,sll1641,sll1641
665,gene485,ssr2962,ssr2962,ssr2962
666,gene486,slr1767,slr1767,slr1767
667,gene487,sll1640,sll1640,sll1640
669,gene488,,sll1639,sll1639
670,gene489,sll1638,sll1638,sll1638
671,gene490,slr1768,slr1768,slr1768
673,gene491,,sll1636,sll1636
674,gene492,slr1770,slr1770,slr1770
675,gene493,slr1771,slr1771,slr1771
676,gene494,sll1635,sll1635,sll1635
678,gene495,,sml0005,sml0005
679,gene496,sll1752,sll1752,sll1752
680,gene497,ssr3122,ssr3122,ssr3122
681,gene498,slr1846,slr1846,slr1846
682,gene499,slr1847,slr1847,slr1847
684,gene500,,slr1848,slr1848
686,gene501,,slr1849,slr1849
687,gene502,sll1751,sll1751,sll1751
689,gene503,,sll1750,sll1750
690,gene504,sll1749,sll1749,sll1749
691,gene505,slr1851,slr1851,slr1851
692,gene506,ssr3129,ssr3129,ssr3129
693,gene507,sll1946,sll1946,sll1946
695,gene508,,slr2032,slr2032
696,gene509,sll1945,sll1945,sll1945
698,gene510,,slr2033,slr2033
699,gene511,slr2034,slr2034,slr2034
701,gene512,,ssr3451,ssr3451
703,gene513,,smr0006,smr0006
705,gene514,,smr0007,smr0007
707,gene515,,smr0008,smr0008
709,gene516,,slr2035,slr2035
710,gene517,ssr3452,ssr3452,ssr3452
711,gene518,slr2036,slr2036,slr2036
712,gene519,slr2037,slr2037,slr2037
713,gene520,slr2038,slr2038,slr2038
714,gene521,sll1942,sll1942,sll1942
716,gene522,,sll1941,sll1941
718,gene523,,slr2041,slr2041
719,gene524,slr2042,slr2042,slr2042
720,gene525,sll1940,sll1940,sll1940
721,gene526,sll1939,sll1939,sll1939
722,gene527,ssr3465,ssr3465,ssr3465
723,gene528,sll1938,sll1938,sll1938
725,gene529,,sll1937,sll1937
727,gene530,,slr2043,slr2043
728,gene531,slr2044,slr2044,slr2044
729,gene532,slr2045,slr2045,slr2045
730,gene533,ssr3467,ssr3467,ssr3467
731,gene534,slr2046,slr2046,slr2046
733,gene535,,slr2047,slr2047
734,gene536,slr2048,slr2048,slr2048
735,gene537,slr2049,slr2049,slr2049
737,gene538,,slr2051,slr2051
738,gene539,slr2052,slr2052,slr2052
739,gene540,sll1934,sll1934,sll1934
740,gene541,slr2053,slr2053,slr2053
742,gene542,,sll1933,sll1933
744,gene543,,sll1932,sll1932
746,gene544,,sll1931,sll1931
747,gene545,sll1930,sll1930,sll1930
749,gene546,,sll1929,sll1929
750,gene547,slr1906,slr1906,slr1906
751,gene548,slr1907,slr1907,slr1907
752,gene549,slr1908,slr1908,slr1908
753,gene550,slr1909,slr1909,slr1909
755,gene551,,slr1910,slr1910
756,gene552,slr1911,slr1911,slr1911
757,gene553,sll1837,sll1837,sll1837
758,gene554,slr1912,slr1912,slr1912
759,gene555,slr1913,slr1913,slr1913
760,gene556,slr1914,slr1914,slr1914
761,gene557,sll1835,sll1835,sll1835
762,gene558,sll1834,sll1834,sll1834
763,gene559,slr1915,slr1915,slr1915
764,gene560,slr1916,slr1916,slr1916
765,gene561,slr1917,slr1917,slr1917
766,gene562,slr1918,slr1918,slr1918
768,gene563,,sll1833,sll1833
769,gene564,sll1832,sll1832,sll1832
771,gene565,,sll1831,sll1831
772,gene566,sll1830,sll1830,sll1830
773,gene567,slr1919,slr1919,slr1919
774,gene568,slr1920,slr1920,slr1920
775,gene569,sll0998,sll0998,sll0998
776,gene570,ssl1911,ssl1911,ssl1911
777,gene571,slr1019,slr1019,slr1019
778,gene572,sll0997,sll0997,sll0997
779,gene573,sll0996,sll0996,sll0996
781,gene574,,slr1020,slr1020
782,gene575,ssr1698,ssr1698,ssr1698
783,gene576,sll0995,sll0995,sll0995
784,gene577,sll0994,sll0994,sll0994
785,gene578,sll0993,sll0993,sll0993
787,gene579,,slr1022,slr1022
788,gene580,slr1023,slr1023,slr1023
789,gene581,slr1024,slr1024,slr1024
790,gene582,slr1025,slr1025,slr1025
791,gene583,sll0992,sll0992,sll0992
792,gene584,sll0990,sll0990,sll0990
793,gene585,slr1028,slr1028,slr1028
795,gene586,,slr1030,slr1030
797,gene587,,slr1031,slr1031
798,gene588,slr1032,slr1032,slr1032
799,gene589,slr1033,slr1033,slr1033
801,gene590,,ssr1720,ssr1720
802,gene591,slr1034,slr1034,slr1034
803,gene592,slr1035,slr1035,slr1035
804,gene593,sll0986,sll0986,sll0986
805,gene594,sll0985,sll0985,sll0985
806,gene595,sll0984,sll0984,sll0984
807,gene596,slr1037,slr1037,slr1037
808,gene597,sll0983,sll0983,sll0983
809,gene598,sll0982,sll0982,sll0982
810,gene599,sll0981,sll0981,sll0981
811,gene600,sll0980,sll0980,sll0980
812,gene601,slr1039,slr1039,slr1039
813,gene602,slr1376,slr1376,slr1376
815,gene603,,slr1377,slr1377
816,gene604,slr1378,slr1378,slr1378
818,gene605,,slr1379,slr1379
820,gene606,,slr1380,slr1380
821,gene607,sll1300,sll1300,sll1300
823,gene608,,sll1299,sll1299
825,gene609,,sll1298,sll1298
826,gene610,ssr2315,ssr2315,ssr2315
827,gene611,slr1383,slr1383,slr1383
828,gene612,ssr2317,ssr2317,ssr2317
829,gene613,slr1384,slr1384,slr1384
830,gene614,slr1385,slr1385,slr1385
831,gene615,ssr2318,ssr2318,ssr2318
833,gene616,,sll1297,sll1297
834,gene617,ssl2559,ssl2559,ssl2559
835,gene618,sll1296,sll1296,sll1296
837,gene619,,sll1294,sll1294
838,gene620,sll1293,sll1293,sll1293
839,gene621,sll1292,sll1292,sll1292
840,gene622,sll1291,sll1291,sll1291
842,gene623,,sll1290,sll1290
843,gene624,sll1289,sll1289,sll1289
845,gene625,,slr1390,slr1390
846,gene626,slr1391,slr1391,slr1391
847,gene627,ssr2333,ssr2333,ssr2333
849,gene628,,slr1392,slr1392
851,gene629,,ssl2542,ssl2542
852,gene630,slr1393,slr1393,slr1393
853,gene631,slr1394,slr1394,slr1394
854,gene632,sll1286,sll1286,sll1286
855,gene633,slr1395,slr1395,slr1395
856,gene634,slr1396,slr1396,slr1396
857,gene635,slr1397,slr1397,slr1397
858,gene636,slr1398,slr1398,slr1398
859,gene637,sll1285,sll1285,sll1285
860,gene638,sll1284,sll1284,sll1284
862,gene639,,sll1283,sll1283
863,gene640,slr1699,slr1699,slr1699
864,gene641,sll1584,sll1584,sll1584
866,gene642,,sll1583,sll1583
867,gene643,sll1582,sll1582,sll1582
869,gene644,,sll1581,sll1581
870,gene645,ssr2843,ssr2843,ssr2843
871,gene646,slr1702,slr1702,slr1702
873,gene647,,slr1703,slr1703
875,gene648,,ssl3093,ssl3093
878,gene649,,sll1579,sll1579
880,gene650,,sll1578,sll1578
882,gene651,,sll1577,sll1577
883,gene652,ssr2848,ssr2848,ssr2848
884,gene653,slr1704,slr1704,slr1704
885,gene654,sll1575,sll1575,sll1575
886,gene655,sll1574,sll1574,sll1574
887,gene656,sll1573,sll1573,sll1573
889,gene657,,slr1705,slr1705
891,gene658,,slr1706,slr1706
892,gene659,ssr2857,ssr2857,ssr2857
893,gene660,slr1708,slr1708,slr1708
895,gene661,,sll1572,sll1572
896,gene662,sll1571,sll1571,sll1571
897,gene663,sll1570,sll1570,sll1570
899,gene664,,slr1710,slr1710
900,gene665,sll1568,sll1568,sll1568
901,gene666,sll1927,sll1927,sll1927
902,gene667,sll1926,sll1926,sll1926
903,gene668,slr2005,slr2005,slr2005
904,gene669,sll1925,sll1925,sll1925
905,gene670,slr2006,slr2006,slr2006
907,gene671,,slr2007,slr2007
908,gene672,slr2008,slr2008,slr2008
910,gene673,,slr2009,slr2009
911,gene674,slr2010,slr2010,slr2010
912,gene675,ssr3409,ssr3409,ssr3409
913,gene676,ssr3410,ssr3410,ssr3410
914,gene677,slr2011,slr2011,slr2011
915,gene678,slr2012,slr2012,slr2012
916,gene679,slr2013,slr2013,slr2013
917,gene680,sll1924,sll1924,sll1924
918,gene681,slr2015,slr2015,slr2015
919,gene682,slr2016,slr2016,slr2016
920,gene683,slr2017,slr2017,slr2017
921,gene684,slr2018,slr2018,slr2018
922,gene685,slr2019,slr2019,slr2019
923,gene686,sll1921,sll1921,sll1921
924,gene687,sll1920,sll1920,sll1920
926,gene688,,slr2023,slr2023
927,gene689,slr2024,slr2024,slr2024
928,gene690,slr2025,slr2025,slr2025
930,gene691,,sll1917,sll1917
931,gene692,sll1916,sll1916,sll1916
932,gene693,sll1915,sll1915,sll1915
934,gene694,,slr2026,slr2026
935,gene695,slr2027,slr2027,slr2027
936,gene696,sll1913,sll1913,sll1913
937,gene697,sll1912,sll1912,sll1912
938,gene698,ssl3615,ssl3615,ssl3615
939,gene699,sll1911,sll1911,sll1911
941,gene700,,sll1910,sll1910
942,gene701,slr2030,slr2030,slr2030
943,gene702,slr2031,slr2031,slr2031
945,gene703,,slr1133,slr1133
946,gene704,slr1134,slr1134,slr1134
947,gene705,slr1135,slr1135,slr1135
948,gene706,sll1084,sll1084,sll1084
950,gene707,,slr1136,slr1136
952,gene708,,slr1137,slr1137
954,gene709,,slr1138,slr1138
956,gene710,,slr1139,slr1139
957,gene711,slr1140,slr1140,slr1140
959,gene712,,sll1082,sll1082
960,gene713,sll1081,sll1081,sll1081
961,gene714,sll1080,sll1080,sll1080
963,gene715,,sll1079,sll1079
964,gene716,sll1078,sll1078,sll1078
966,gene717,,sll1077,sll1077
967,gene718,slr1142,slr1142,slr1142
968,gene719,slr1143,slr1143,slr1143
970,gene720,,sll1076,sll1076
972,gene721,,sll1074,sll1074
974,gene722,,slr1145,slr1145
975,gene723,slr1147,slr1147,slr1147
976,gene724,slr1148,slr1148,slr1148
977,gene725,slr1149,slr1149,slr1149
978,gene726,slr1150,slr1150,slr1150
979,gene727,sll1072,sll1072,sll1072
980,gene728,sll1071,sll1071,sll1071
982,gene729,,sll1070,sll1070
984,gene730,,sll1069,sll1069
986,gene731,,ssl2084,ssl2084
987,gene732,sll1068,sll1068,sll1068
988,gene733,ssl3451,ssl3451,ssl3451
990,gene734,,slr1890,slr1890
991,gene735,sll1825,sll1825,sll1825
992,gene736,sll1824,sll1824,sll1824
994,gene737,,sll1823,sll1823
995,gene738,ssl3446,ssl3446,ssl3446
997,gene739,,ssl3445,ssl3445
999,gene740,,sll1822,sll1822
1001,gene741,,sll1821,sll1821
1003,gene742,,sll1820,sll1820
1005,gene743,,sll1819,sll1819
1007,gene744,,sll1818,sll1818
1009,gene745,,sll1817,sll1817
1011,gene746,,sll1816,sll1816
1013,gene747,,sml0006,sml0006
1015,gene748,,ssl3441,ssl3441
1017,gene749,,sll1815,sll1815
1019,gene750,,sll1814,sll1814
1021,gene751,,sll1813,sll1813
1023,gene752,,sll1812,sll1812
1025,gene753,,sll1811,sll1811
1027,gene754,,sll1810,sll1810
1029,gene755,,sll1809,sll1809
1031,gene756,,sll1808,sll1808
1033,gene757,,sll1807,sll1807
1035,gene758,,sll1806,sll1806
1037,gene759,,ssl3437,ssl3437
1039,gene760,,ssl3436,ssl3436
1041,gene761,,sll1805,sll1805
1043,gene762,,sll1804,sll1804
1045,gene763,,sll1803,sll1803
1047,gene764,,ssl3432,ssl3432
1049,gene765,,sll1802,sll1802
1051,gene766,,sll1801,sll1801
1053,gene767,,sll1800,sll1800
1055,gene768,,sll1799,sll1799
1056,gene769,slr1894,slr1894,slr1894
1058,gene770,,sll1797,sll1797
1059,gene771,slr1895,slr1895,slr1895
1060,gene772,slr1896,slr1896,slr1896
1062,gene773,,sll1796,sll1796
1064,gene774,,slr1897,slr1897
1066,gene775,,slr1898,slr1898
1068,gene776,,slr1899,slr1899
1069,gene777,slr1900,slr1900,slr1900
1070,gene778,slr1901,slr1901,slr1901
1071,gene779,slr1902,slr1902,slr1902
1072,gene780,slr1903,slr1903,slr1903
1073,gene781,sll1792,sll1792,sll1792
1074,gene782,sll1791,sll1791,sll1791
1076,gene783,,sll1789,sll1789
1078,gene784,,sll1787,sll1787
1079,gene785,sll1786,sll1786,sll1786
1081,gene786,,ssl2233,ssl2233
1082,gene787,sll1124,sll1124,sll1124
1083,gene788,sll1123,sll1123,sll1123
1084,gene789,sll1121,sll1121,sll1121
1085,gene790,sll1120,sll1120,sll1120
1086,gene791,sll1119,sll1119,sll1119
1087,gene792,slr1194,slr1194,slr1194
1088,gene793,slr1195,slr1195,slr1195
1089,gene794,slr1196,slr1196,slr1196
1090,gene795,slr1197,slr1197,slr1197
1091,gene796,sll1118,sll1118,sll1118
1092,gene797,ssr2009,ssr2009,ssr2009
1093,gene798,slr1198,slr1198,slr1198
1095,gene799,,slr1199,slr1199
1097,gene800,,slr1200,slr1200
1098,gene801,slr1201,slr1201,slr1201
1100,gene802,,slr1202,slr1202
1101,gene803,slr1203,slr1203,slr1203
1103,gene804,,slr1204,slr1204
1104,gene805,slr1205,slr1205,slr1205
1105,gene806,slr1206,slr1206,slr1206
1106,gene807,slr1207,slr1207,slr1207
1107,gene808,ssr2016,ssr2016,ssr2016
1108,gene809,slr1208,slr1208,slr1208
1109,gene810,slr1209,slr1209,slr1209
1110,gene811,slr1210,slr1210,slr1210
1112,gene812,,slr1211,slr1211
1114,gene813,,slr1212,slr1212
1115,gene814,slr1213,slr1213,slr1213
1116,gene815,slr1214,slr1214,slr1214
1117,gene816,slr1215,slr1215,slr1215
1119,gene817,,sll1112,sll1112
1121,gene818,,slr1216,slr1216
1122,gene819,sll1971,sll1971,sll1971
1123,gene820,slr2070,slr2070,slr2070
1124,gene821,slr2071,slr2071,slr2071
1125,gene822,sll1969,sll1969,sll1969
1127,gene823,,sll1968,sll1968
1128,gene824,sll1967,sll1967,sll1967
1130,gene825,,slr2072,slr2072
1131,gene826,slr2073,slr2073,slr2073
1133,gene827,,slr2074,slr2074
1134,gene828,sll1965,sll1965,sll1965
1136,gene829,,slr2075,slr2075
1138,gene830,,slr2076,slr2076
1139,gene831,slr2077,slr2077,slr2077
1140,gene832,slr2078,slr2078,slr2078
1141,gene833,ssl3712,ssl3712,ssl3712
1143,gene834,,sll1747,sll1747
1145,gene835,,sll1746,sll1746
1147,gene836,,sll1745,sll1745
1149,gene837,,sll1744,sll1744
1151,gene838,,sll1743,sll1743
1153,gene839,,sll1742,sll1742
1155,gene840,,ssl3335,ssl3335
1157,gene841,,sll1740,sll1740
1158,gene842,slr1826,slr1826,slr1826
1159,gene843,slr1827,slr1827,slr1827
1160,gene844,sll1739,sll1739,sll1739
1161,gene845,sll1738,sll1738,sll1738
1162,gene846,sll1737,sll1737,sll1737
1164,gene847,,slr1828,slr1828
1165,gene848,slr1829,slr1829,slr1829
1167,gene849,,slr1830,slr1830
1168,gene850,sll1736,sll1736,sll1736
1169,gene851,sll1735,sll1735,sll1735
1170,gene852,sll1734,sll1734,sll1734
1172,gene853,,sll1733,sll1733
1174,gene854,,sll1732,sll1732
1175,gene855,sll1730,sll1730,sll1730
1177,gene856,,slr1834,slr1834
1179,gene857,,slr1835,slr1835
1180,gene858,sll1726,sll1726,sll1726
1181,gene859,sll1725,sll1725,sll1725
1183,gene860,,sll1724,sll1724
1184,gene861,sll1723,sll1723,sll1723
1185,gene862,sll1722,sll1722,sll1722
1186,gene863,slr1837,slr1837,slr1837
1188,gene864,,sll1721,sll1721
1190,gene865,,slr1838,slr1838
1192,gene866,,slr1839,slr1839
1193,gene867,slr1840,slr1840,slr1840
1194,gene868,slr1841,slr1841,slr1841
1196,gene869,,slr1842,slr1842
1198,gene870,,slr1843,slr1843
1200,gene871,,slr1844,slr1844
1201,gene872,sll1717,sll1717,sll1717
1202,gene873,sll1716,sll1716,sll1716
1203,gene874,sll1715,sll1715,sll1715
1204,gene875,sll1714,sll1714,sll1714
1206,gene876,,sll1713,sll1713
1207,gene877,sll1712,sll1712,sll1712
1208,gene878,sll1469,sll1469,sll1469
1209,gene879,slr1535,slr1535,slr1535
1211,gene880,,slr1536,slr1536
1212,gene881,slr1537,slr1537,slr1537
1214,gene882,,slr1538,slr1538
1215,gene883,slr1540,slr1540,slr1540
1216,gene884,slr1541,slr1541,slr1541
1217,gene885,slr1542,slr1542,slr1542
1218,gene886,slr1543,slr1543,slr1543
1220,gene887,,sll1468,sll1468
1221,gene888,ssr2595,ssr2595,ssr2595
1222,gene889,slr1544,slr1544,slr1544
1224,gene890,,slr1545,slr1545
1225,gene891,slr1546,slr1546,slr1546
1226,gene892,slr1547,slr1547,slr1547
1227,gene893,sll1466,sll1466,sll1466
1228,gene894,ssl2823,ssl2823,ssl2823
1229,gene895,sll1464,sll1464,sll1464
1231,gene896,,sll1463,sll1463
1233,gene897,,sll1462,sll1462
1234,gene898,sll1461,sll1461,sll1461
1235,gene899,sll1459,sll1459,sll1459
1237,gene900,,slr1549,slr1549
1238,gene901,ssr2611,ssr2611,ssr2611
1240,gene902,,slr1550,slr1550
1242,gene903,,sll1457,sll1457
1243,gene904,sll1456,sll1456,sll1456
1244,gene905,slr1552,slr1552,slr1552
1245,gene906,sll1455,sll1455,sll1455
1247,gene907,,sll1454,sll1454
1249,gene908,,sll1453,sll1453
1251,gene909,,sll1452,sll1452
1253,gene910,,sll1451,sll1451
1255,gene911,,sll1450,sll1450
1256,gene912,sll1634,sll1634,sll1634
1257,gene913,slr1748,slr1748,slr1748
1259,gene914,,ssl3177,ssl3177
1261,gene915,,sll1633,sll1633
1262,gene916,sll1632,sll1632,sll1632
1264,gene917,,slr1751,slr1751
1265,gene918,slr1752,slr1752,slr1752
1266,gene919,sll1144,sll1144,sll1144
1267,gene920,slr1218,slr1218,slr1218
1269,gene921,,slr1219,slr1219
1270,gene922,slr1220,slr1220,slr1220
1271,gene923,slr1222,slr1222,slr1222
1273,gene924,,sll1143,sll1143
1274,gene925,sll1142,sll1142,sll1142
1276,gene926,,slr1223,slr1223
1278,gene927,,slr1224,slr1224
1280,gene928,,slr1225,slr1225
1281,gene929,sll1138,sll1138,sll1138
1283,gene930,,slr1226,slr1226
1285,gene931,,slr1227,slr1227
1287,gene932,,slr1228,slr1228
1288,gene933,slr1229,slr1229,slr1229
1289,gene934,slr1230,slr1230,slr1230
1290,gene935,sll1135,sll1135,sll1135
1291,gene936,slr1232,slr1232,slr1232
1292,gene937,ssr2047,ssr2047,ssr2047
1294,gene938,,slr1233,slr1233
1296,gene939,,ssr2049,ssr2049
1297,gene940,slr1234,slr1234,slr1234
1298,gene941,slr1235,slr1235,slr1235
1299,gene942,slr1236,slr1236,slr1236
1300,gene943,ssl2250,ssl2250,ssl2250
1301,gene944,sll1132,sll1132,sll1132
1302,gene945,sll1131,sll1131,sll1131
1304,gene946,,slr1237,slr1237
1305,gene947,sll1130,sll1130,sll1130
1306,gene948,ssl2245,ssl2245,ssl2245
1308,gene949,,sll1129,sll1129
1309,gene950,ssr2060,ssr2060,ssr2060
1311,gene951,,ssr2061,ssr2061
1313,gene952,,slr1238,slr1238
1314,gene953,ssr2062,ssr2062,ssr2062
1316,gene954,,sll1127,sll1127
1318,gene955,,slr1239,slr1239
1319,gene956,slr1240,slr1240,slr1240
1320,gene957,slr1241,slr1241,slr1241
1321,gene958,ssr2067,ssr2067,ssr2067
1323,gene959,,slr1434,slr1434
1325,gene960,,slr1435,slr1435
1326,gene961,slr1436,slr1436,slr1436
1327,gene962,slr1437,slr1437,slr1437
1328,gene963,slr1438,slr1438,slr1438
1330,gene964,,sll1362,sll1362
1331,gene965,ssr2406,ssr2406,ssr2406
1333,gene966,,sll1360,sll1360
1334,gene967,slr1440,slr1440,slr1440
1335,gene968,sll1359,sll1359,sll1359
1336,gene969,sll1358,sll1358,sll1358
1338,gene970,,sll1356,sll1356
1339,gene971,slr1441,slr1441,slr1441
1340,gene972,sll1355,sll1355,sll1355
1341,gene973,slr1442,slr1442,slr1442
1343,gene974,,slr1443,slr1443
1344,gene975,slr1444,slr1444,slr1444
1345,gene976,ssr2422,ssr2422,ssr2422
1347,gene977,,sll1354,sll1354
1348,gene978,sll1353,sll1353,sll1353
1349,gene979,sll1352,sll1352,sll1352
1351,gene980,,slr1448,slr1448
1352,gene981,slr1449,slr1449,slr1449
1353,gene982,slr1450,slr1450,slr1450
1354,gene983,sll1350,sll1350,sll1350
1356,gene984,,sll1349,sll1349
1357,gene985,sll1348,sll1348,sll1348
1359,gene986,,sll1282,sll1282
1361,gene987,,sll1281,sll1281
1362,gene988,sll1280,sll1280,sll1280
1364,gene989,,slr1356,slr1356
1365,gene990,slr1357,slr1357,slr1357
1367,gene991,,sll1277,sll1277
1368,gene992,sll1276,sll1276,sll1276
1370,gene993,,sll1275,sll1275
1371,gene994,slr1362,slr1362,slr1362
1372,gene995,sll1274,sll1274,sll1274
1373,gene996,slr1363,slr1363,slr1363
1375,gene997,,slr1364,slr1364
1377,gene998,,slr1365,slr1365
1379,gene999,,slr1366,slr1366
1380,gene1000,sll1273,sll1273,sll1273
1381,gene1001,sll1272,sll1272,sll1272
1382,gene1002,sll1271,sll1271,sll1271
1384,gene1003,,sll1270,sll1270
1385,gene1004,ssl2501,ssl2501,ssl2501
1387,gene1005,,slr1367,slr1367
1389,gene1006,,slr1368,slr1368
1391,gene1007,,slr1369,slr1369
1392,gene1008,sll1268,sll1268,sll1268
1393,gene1009,sll1267,sll1267,sll1267
1394,gene1010,sll1265,sll1265,sll1265
1395,gene1011,sll0877,sll0877,sll0877
1397,gene1012,,slr0875,slr0875
1399,gene1013,,sll0876,sll0876
1400,gene1014,sll0875,sll0875,sll0875
1401,gene1015,slr0876,slr0876,slr0876
1402,gene1016,ssr1480,ssr1480,ssr1480
1403,gene1017,slr0877,slr0877,slr0877
1404,gene1018,slr0878,slr0878,slr0878
1406,gene1019,,slr0879,slr0879
1407,gene1020,slr0880,slr0880,slr0880
1409,gene1021,,sll0873,sll0873
1410,gene1022,ssl1633,ssl1633,ssl1633
1411,gene1023,slr0881,slr0881,slr0881
1412,gene1024,sll0872,sll0872,sll0872
1413,gene1025,slr0882,slr0882,slr0882
1415,gene1026,,slr0883,slr0883
1416,gene1027,sll0871,sll0871,sll0871
1418,gene1028,,slr0884,slr0884
1419,gene1029,slr0885,slr0885,slr0885
1421,gene1030,,sll0869,sll0869
1423,gene1031,,sll0868,sll0868
1424,gene1032,sll0867,sll0867,sll0867
1426,gene1033,,slr0886,slr0886
1427,gene1034,slr0887,slr0887,slr0887
1428,gene1035,slr0888,slr0888,slr0888
1429,gene1036,slr0889,slr0889,slr0889
1430,gene1037,ssr1499,ssr1499,ssr1499
1431,gene1038,slr0890,slr0890,slr0890
1433,gene1039,,sll0865,sll0865
1435,gene1040,,slr0891,slr0891
1436,gene1041,sll0864,sll0864,sll0864
1437,gene1042,sll0863,sll0863,sll0863
1438,gene1043,sll0862,sll0862,sll0862
1439,gene1044,sll0861,sll0861,sll0861
1440,gene1045,sll0860,sll0860,sll0860
1442,gene1046,,sll1317,sll1317
1444,gene1047,,sll1316,sll1316
1446,gene1048,,ssl2598,ssl2598
1448,gene1049,,smr0009,smr0009
1449,gene1050,ssl2595,ssl2595,ssl2595
1450,gene1051,sll1315,sll1315,sll1315
1452,gene1052,,sll1314,sll1314
1453,gene1053,slr1403,slr1403,slr1403
1454,gene1054,sll1308,sll1308,sll1308
1455,gene1055,slr1406,slr1406,slr1406
1456,gene1056,slr1407,slr1407,slr1407
1457,gene1057,slr1409,slr1409,slr1409
1458,gene1058,slr1410,slr1410,slr1410
1459,gene1059,sll1307,sll1307,sll1307
1460,gene1060,sll1306,sll1306,sll1306
1461,gene1061,sll1305,sll1305,sll1305
1462,gene1062,sll1304,sll1304,sll1304
1463,gene1063,sll1785,sll1785,sll1785
1464,gene1064,sll1784,sll1784,sll1784
1465,gene1065,sll1783,sll1783,sll1783
1466,gene1066,slr1852,slr1852,slr1852
1467,gene1067,slr1853,slr1853,slr1853
1468,gene1068,slr1854,slr1854,slr1854
1469,gene1069,slr1855,slr1855,slr1855
1470,gene1070,slr1856,slr1856,slr1856
1472,gene1071,,slr1857,slr1857
1473,gene1072,slr1859,slr1859,slr1859
1475,gene1073,,slr1860,slr1860
1476,gene1074,slr1861,slr1861,slr1861
1477,gene1075,slr1862,slr1862,slr1862
1478,gene1076,sll1780,sll1780,sll1780
1479,gene1077,slr1863,slr1863,slr1863
1480,gene1078,slr1864,slr1864,slr1864
1481,gene1079,slr1865,slr1865,slr1865
1482,gene1080,slr1866,slr1866,slr1866
1484,gene1081,,slr1867,slr1867
1486,gene1082,,sll1776,sll1776
1487,gene1083,sll1775,sll1775,sll1775
1488,gene1084,sll1774,sll1774,sll1774
1489,gene1085,slr1869,slr1869,slr1869
1490,gene1086,slr1870,slr1870,slr1870
1491,gene1087,sll1773,sll1773,sll1773
1492,gene1088,slr1871,slr1871,slr1871
1494,gene1089,,sll1772,sll1772
1495,gene1090,sll1771,sll1771,sll1771
1496,gene1091,sll1770,sll1770,sll1770
1497,gene1092,sll1769,sll1769,sll1769
1498,gene1093,ssl3383,ssl3383,ssl3383
1499,gene1094,ssl3382,ssl3382,ssl3382
1500,gene1095,sll1768,sll1768,sll1768
1502,gene1096,,slr1874,slr1874
1504,gene1097,,slr1875,slr1875
1505,gene1098,ssl3379,ssl3379,ssl3379
1506,gene1099,slr1876,slr1876,slr1876
1508,gene1100,,sll1767,sll1767
1510,gene1101,,slr1877,slr1877
1512,gene1102,,slr1878,slr1878
1514,gene1103,,sll1766,sll1766
1515,gene1104,sll1765,sll1765,sll1765
1516,gene1105,sll1764,sll1764,sll1764
1517,gene1106,sll1763,sll1763,sll1763
1518,gene1107,sll1762,sll1762,sll1762
1520,gene1108,,slr1879,slr1879
1521,gene1109,sll1761,sll1761,sll1761
1523,gene1110,,sll1760,sll1760
1524,gene1111,slr1880,slr1880,slr1880
1525,gene1112,sll1758,sll1758,sll1758
1526,gene1113,ssr3184,ssr3184,ssr3184
1528,gene1114,,slr1881,slr1881
1529,gene1115,slr1882,slr1882,slr1882
1530,gene1116,sll1757,sll1757,sll1757
1531,gene1117,ssr3188,ssr3188,ssr3188
1532,gene1118,ssl3364,ssl3364,ssl3364
1534,gene1119,,slr1884,slr1884
1535,gene1120,ssr3189,ssr3189,ssr3189
1536,gene1121,slr1885,slr1885,slr1885
1537,gene1122,slr1886,slr1886,slr1886
1538,gene1123,sll1755,sll1755,sll1755
1540,gene1124,,slr1887,slr1887
1541,gene1125,slr1888,slr1888,slr1888
1543,gene1126,,slr2132,slr2132
1544,gene1127,sll2015,sll2015,sll2015
1546,gene1128,,sll2014,sll2014
1547,gene1129,sll2013,sll2013,sll2013
1549,gene1130,,sll2012,sll2012
1550,gene1131,sll2011,sll2011,sll2011
1552,gene1132,,sll2010,sll2010
1553,gene1133,sll2009,sll2009,sll2009
1554,gene1134,sll2008,sll2008,sll2008
1556,gene1135,,slr2135,slr2135
