,Gene,Name,Parent Gene,Final_name
4595,gene3523,slr6067,slr6067,slr6067
4596,gene3524,slr6068,slr6068,slr6068
4597,gene3525,sll6069,sll6069,sll6069
4598,gene3526,slr6070,slr6070,slr6070
4599,gene3527,slr6071,slr6071,slr6071
4600,gene3528,slr6072,slr6072,slr6072
4601,gene3529,slr6073,slr6073,slr6073
4602,gene3530,slr6074,slr6074,slr6074
4603,gene3531,slr6075,slr6075,slr6075
4604,gene3532,sll6076,sll6076,sll6076
4605,gene3533,ssl6077,ssl6077,ssl6077
4606,gene3534,ssr6078,ssr6078,ssr6078
4607,gene3535,ssr6079,ssr6079,ssr6079
4608,gene3536,slr6080,slr6080,slr6080
4609,gene3537,slr6081,slr6081,slr6081
4610,gene3538,ssl6082,ssl6082,ssl6082
4611,gene3539,ssr6083,ssr6083,ssr6083
4612,gene3540,slr6084,slr6084,slr6084
4613,gene3541,ssr6085,ssr6085,ssr6085
4614,gene3542,ssr6086,ssr6086,ssr6086
4615,gene3543,slr6087,slr6087,slr6087
4616,gene3544,slr6088,slr6088,slr6088
4617,gene3545,ssr6089,ssr6089,ssr6089
4618,gene3546,slr6090,slr6090,slr6090
4619,gene3547,slr6091,slr6091,slr6091
4620,gene3548,ssl6092,ssl6092,ssl6092
4621,gene3549,sll6093,sll6093,sll6093
4622,gene3550,slr6094,slr6094,slr6094
4623,gene3551,slr6095,slr6095,slr6095
4624,gene3552,slr6096,slr6096,slr6096
4625,gene3553,slr6097,slr6097,slr6097
4626,gene3554,sll6098,sll6098,sll6098
4627,gene3555,ssr6099,ssr6099,ssr6099
4628,gene3556,slr6100,slr6100,slr6100
4629,gene3557,slr6101,slr6101,slr6101
4630,gene3558,slr6102,slr6102,slr6102
4631,gene3559,slr6103,slr6103,slr6103
4632,gene3560,slr6104,slr6104,slr6104
4633,gene3561,slr6105,slr6105,slr6105
4634,gene3562,slr6106,slr6106,slr6106
4635,gene3563,slr6107,slr6107,slr6107
4636,gene3564,slr6108,slr6108,slr6108
4637,gene3565,sll6109,sll6109,sll6109
4638,gene3566,slr6110,slr6110,slr6110
